id;created_at;region_id;subscribers_count;name;short_description;address
1;12 Январь, 2020;1;10 841;БФ «Надежда»;Фонд оказывает материальную помощь социально незащищенным категориям населения в Дагестане.;"г. Махачкала,
ул. Дзержинского д.17 «б» каб. №608"
2;12 Январь, 2020;2;2 371;Тешам;Благотворительный фонд «Тешам» оказывает поддержку малоимущим  многодетным семьям, сиротам, инвалидам и одиноким старикам , оказавшимся в тяжёлой жизненной ситуации.;г. Назрань, ул. Чеченская, 34 А.
3;12 Январь, 2020;2;3 502;КДЛ;Фонд «КДЛ» оказывает помощь детям и взрослым с различными заболеваниями посредством приобретения лекарственных средств, оплаты лечения, реабилитации. Фонд проводит работу по развитию добровольчества и популяризации донорства крови в регионе, а так же реализует образовательные проекты для детей из малообеспеченных семей и детей с особенностями развития.;г.Магас, ул. Саида Чахкиева, 31
4;12 Январь, 2020;3;343;Доброгорец;"Благотворительный фонд ""ДоброГорец"" оказывает помощь (социальную, психологическую, материальную) детям Карачаево-Черкесской республики, оказавшимся в трудной жизненной ситуации.";Карачаево-Черкесская Республика, г.Черкесск, ул.Космонавтов 30а,2этаж
5;12 Январь, 2020;3;1 698;Территория милосердия;Фонд оказывает материальную помощь нуждающимся семьям.;г. Черкесск, пр. Ленина 154в
6;12 Январь, 2020;1;13;Благосфера;;
7;12 Январь, 2020;1;372;ЛЕКИ;Благотворительный фонд «ЛЕКИ» создан группой инициативных и неравнодушных людей, объединившихся в целях оказания помощи нуждающимся, сохранения и развития национальной культуры, поддержки социальных, образовательных и спортивных инициатив среди народов лезгинской языковой группы.;Сулейман-Стальский район, с. Касумкент
8;12 Январь, 2020;1;3 118;Тут Добро;"Благотворительный фонд «Тут Добро» работает с 2016 года. Основными сферами деятельности фонда являются помощь детям с ограниченными возможностями в лечении и реабилитации, а так же поддержка одиноких матерей оказавшихся в сложной жизненной ситуации.

Параллельно фонд ведет активную волонтерскую и донорскую деятельность.";Республика Дагестан, г.Махачкала, ул.Абубакарова, 115, 2 подъезд, 3 этаж, 307 кабинет.
9;12 Январь, 2020;2;766;Ихсан;Фонд оказывает помощь малоимущим семьям республики Ингушетия, детям нуждающимся в лечении и реабилитации и пожилым и одиноким людям.;Назрановский район, с. Али-Юрт
10;12 Январь, 2020;5;1 492;Дом Доброты;"БФ «Дом Доброты» оказывает помощь в оплате лечения, операций, обследований детям и взрослым с тяжелыми заболеваниями; развозит продукты нуждающимся семьям; оплачивает образовательные курсы для обретения профессии женщинам, находящимся в тяжёлой жизненной ситуации.";"г.Москва, Семёновская
площадь, 7, БЦ “Вэронд”"
11;12 Январь, 2020;5;12 318;Закят;Благотворительный фонд «ЗАКЯТ» преследует социальные, благотворительные, культурные, просветительские, образовательные и иные общественно полезные цели. Помогает всем категориям людей с разными жизненными трудностями.;г. Москва, пер. Выползов, 7 стр. 1
12;12 Январь, 2020;9;135;Ашана;"Благотворительный фонд ""Ашана"" оказывает помощь тяжело больным детям Абхазии.";г. Сухум, пр. Леона, 17 (2 этаж)
13;12 Январь, 2020;4;2 173;Синяя Птица;"Автономная некоммерческая организация ""Многопрофильный детский развивающий центр ""Синяя птица"" оказывает помощь детям с особенностями развития и их семьям, а также проводит реабилитационные и коррекционно-развивающие программы для детей с расстройством аутистического спектра.";г.Астрахань, ул. Н.Островского 148 В
14;12 Январь, 2020;11;180;Даймохк;Фонд оказывает помощь сиротам, детям с онкологическими заболеваниями, семьям оказавшимся в трудной жизненной ситуации.;г. Грозный, Октябрьский р-н, ул.Нагорная 39
15;12 Январь, 2020;5;462;Жизнь как чудо;Благотворительный фонд помощи детям с тяжелыми заболеваниями печени «Жизнь как Чудо».;г. Москва, ул. Палиха 13/1 строение 1
16;12 Январь, 2020;5;809;АиФ. Доброе сердце;"Благотворительный фонд «АиФ. Доброе сердце» с 2005-го года помогает детям и взрослым из разных регионов России — с оплатой срочных операций и медицинских обследований, закупкой жизненно необходимых лекарств и медоборудования, юридическим и психологическим сопровождением. 
Мы не оставляем семью наедине с болезнью!";г.Москва, ул.Часовая, д. 24, стр. 2
